Profile URL,Query
https://macmillan.yale.edu/africa/person/rawia-m-tawfik-amer,Rawya Amer Visiting Associate Professor Yale Profile
https://medicine.yale.edu/profile/nadia-ameen/,Nadia Ameen Professor of Pediatrics (Gastroenterology) Yale Profile
https://medicine.yale.edu/profile/la265/,Lirim Ameti Assistant Clinical Professor of Medicine Yale Profile
https://history.yale.edu/people/abbas-amanat,Abbas Amanat William Graham Sumner Professor Emeritus of History Yale Profile
https://history.yale.edu/people/sunil-amrith,Sunil Amrith Renu and Anand Dhawan Professor of History Yale Profile
https://nursing.yale.edu/faculty-research/faculty-directory,Ann Ameling Professor Emeritus of Nursing Yale Profile
https://medicine.yale.edu/profile/john-amatruda/,John Amatruda Professor (Adjunct) of Medicine (Endocrinology) Yale Profile
https://medicine.yale.edu/profile/joseph-amatruda/,Joseph Amatruda Assistant Clinical Professor of Psychiatry Yale Profile
https://medicine.yale.edu/profile/ya29/,Yaw Amoateng-Adjepong Assistant Clinical Professor Yale Profile
https://medicine.yale.edu/profile/anika-anam/,Anika Anam Assistant Professor of Medicine (Endocrinology) Yale Profile
https://medicine.yale.edu/profile/prasanna-ananth/,Prasanna Ananth Associate Professor of Pediatrics (Hematology Oncology) Yale Profile
https://medicine.yale.edu/childstudy/profile/ca666/,Christoph Anacker Assistant Professor (Adjunct) in the Child Study Center Yale Profile
https://ysph.yale.edu/profile/paul-anastas/,Paul Anastas Professor of Epidemiology (Environmental Health Sciences) and Teresa and H. John Heinz III Professor in the Practice of Chemistry for the Environment Yale Profile
https://medicine.yale.edu/profile/michael-ancuta/,Michael Ancuta Assistant Professor of Anesthesiology Yale Profile
https://complit.yale.edu/people/dudley-andrew,Dudley Andrew R. Seldon Rose Professor Emeritus of Comparative Literature and Professor Emeritus of Film Studies Yale Profile
https://medicine.yale.edu/obgyn/profile/sarah-andiman/,"Sarah Andiman Assistant Professor of Obstetrics, Gynecology and Reproductive Sciences Yale Profile"
https://medicine.yale.edu/profile/warren-andiman/,Warren Andiman Professor Emeritus of Pediatrics (Infectious Disease) Yale Profile
https://economics.yale.edu/people/donald-andrews,Donald Andrews Tjalling C. Koopmans Professor of Economics and Professor of Management Yale Profile
https://nursing.yale.edu/faculty-research/faculty-directory/laura-kierol-andrews-phd-aprn-acnp-bc,Laura Andrews Associate Professor of Nursing Yale Profile
https://erm.yale.edu/people/tarren-andrews,Tarren Andrews Assistant Professor Yale Profile
https://medicine.yale.edu/psychiatry/profile/bma24/,Beth Anderson Assistant Professor Adjunct in Psychiatry Yale Profile
